Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Alatyyppi;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Luonnehdinta;Alkoholi-%;Energia kcal/100 ml
945096;Adrianna Vineyard Fortuna Terrae Malbec 2015;Catena Zapata;0,75 l;84.96;113.28;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, karhunvatukkainen, mausteinen, aromikas;14.0;80.0
935635;Adrianna Vineyard River Stones Malbec 2017;Catena Zapata;0,75 l;124.91;166.55;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, boysenmarjainen, mustikkainen, vadelmainen;13.5;80.0
440567;Alamos Malbec Organic 2019;Alamos;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, luumuhilloinen, kypsän karpaloinen, hennon kukkainen, mausteinen;13.5;80.0
424107;Alamos Tempranillo 2016;Alamos;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2016;Keskitäyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, karpaloinen, mokkainen, hennon yrttinen;12.5;70.0
939055;Altos Las Hormigas Clásico Malbec 2018;Altos Las Hormigas;0,75 l;16.99;22.65;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen;13.5;80.0
936741;Altos Las Hormigas Terroir Luján de Cuyo 2017;Altos Las Hormigas;0,75 l;18.90;25.2;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, mausteinen;13.5;80.0
945913;Altos Las Hormigas Terroir Malbec 2016;Altos Las Hormigas;0,75 l;20.98;27.97;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2016;Täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen;13.5;80.0
921767;Argento Organic Malbec Reserva 2015;Bodega Argento;0,75 l;14.98;19.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen;14.0;80.0
402217;Argento Paraje Altamira Organic Malbec 2014;Bodega Argento;0,75 l;30.27;40.36;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2014;Täyteläinen, tanniininen, tumman kirsikkainen, karhunvatukkainen, viikunainen, kevyen orvokkinen, mausteinen, tyylikäs, tasapainoinen;14.0;80.0
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2014;Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen;14.0;80.0
451687;Argento Seleccion Malbec 2018;Argento Wine Company;0,75 l;10.48;13.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, metsämansikkainen, kevyen mausteinen;13.5;80.0
924067;Beefsteak Club Malbec 2019;E. I. Wines;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen;13.5;80.0
903027;Beefsteak Club Reserve Malbec 2016;Andean Vineyards;0,75 l;24.99;33.32;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2016;Täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen;14.5;80.0
956585;Beefsteak Club The Mini Malbec 2019;E I Wines;0,187 l;3.99;21.34;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, vähätanniininen, tumman kirsikkainen, mausteinen, luumuinen;13.5;80.0
454597;BenMarco Expresivo 2018;Dominio del Plata;0,75 l;29.99;39.85;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, herukkainen, viikunainen, boysenmarjainen, luumuinen, kevyen suklainen, tamminen;14.5;80.0
446837;BenMarco Malbec 2018;Dominio del Plata;0,75 l;19.89;26.39;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, mustaherukkainen, karhunvatukkainen, kevyen taatelinen, hennon kukkainen, tamminen, tasapainoinen, tyylikäs, pitkä;14.5;80.0
954657;Bodega Piedra Negra Malbec Alta Coleccion 2019;Bodega Piedra Negra;0,75 l;12.90;17.07;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, marjainen, mausteinen;14.0;80.0
430097;Bodega Piedra Negra Merlot Reserve 2015;Bodega Piedra Negra;0,75 l;13.69;18.12;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, herukkahilloinen, tumman luumuinen, mausteinen, hennon mokkainen, tamminen;14.5;80.0
935176;Bodega Vistalba Arido Malbec 2017;Bodega Vistalba;0,75 l;14.70;19.6;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, kirsikkainen, nahkainen;14.5;80.0
004551;Caballo de Mendoza;Altia;0,75 l;7.88;10.37;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;;Keskitäyteläinen, keskitanniininen, kevyen kirsikkainen, mansikkainen, mausteinen;14.0;80.0
487307;Cameleon Organic Cabernet Sauvignon 2019;Domaine Bousquet;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, herukkainen, kirsikkainen, karhunvatukkainen, kevyen kaakaoinen, paahteinen;14.0;80.0
931718;Caro 2015;Bodegas Caro;0,75 l;54.98;73.31;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, luumuinen, mokkainen, setrinen;14.0;80.0
930018;Catena Alta Cabernet Sauvignon 2009;Catena Zapata;0,75 l;39.98;53.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2009;Täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen;14.0;80.0
438717;Catena Cabernet Sauvignon 2015;Catena Zapata;0,75 l;15.98;21.17;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, hapankirsikkainen, herukkainen, kevyen lääkeyrttinen, hennon tamminen;13.0;70.0
906487;Catena Malbec 2017;Bodega Catena Zapata;0,75 l;18.98;25.31;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, marjainen, mausteinen;13.5;80.0
914694;Catena Nicasia Vineyard Malbec 2015;Catena Zapata;0,75 l;59.99;79.99;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, mustaherukkainen, vaniljainen, luumuinen;14.0;80.0
496077;Chakana Nuna Tetrada 2019;Chakana;0,75 l;15.99;21.19;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, karhunvatukkainen, luumuinen, tumman kirsikkainen, kevyen oliivinen, mustapippurinen, tamminen;14.0;80.0
480037;Chakana Nuna Vineyard Cabernet Franc 2018;Proviva;0,75 l;14.98;19.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen;14.0;80.0
410098;Chill Out Malbec Argentina 2019 muovipullo;Altia;1 l;13.28;12.88;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, kevyen mausteinen;13.0;70.0
923877;Comuna Malbec 2017;Bodega Argento;0,75 l;9.98;13.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, puolukkainen, mausteinen, hennon kukkainen;12.5;70.0
448847;Domaine Bousquet Ameri Single Vineyard 2015;Domaine Bousquet;0,75 l;32.90;43.73;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, tumman kirsikkainen, karpaloinen, tummasuklainen, mustapippurinen, tamminen, tasapainoinen;14.5;80.0
422587;Domaine Bousquet Gaia Organic 2017;Domaine Bousquet;0,75 l;13.69;18.12;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, tumman kirsikkainen, mustaherukkahilloinen, kevyen luumuinen, mausteinen, tamminen, lämmin;14.5;80.0
450517;Domaine Bousquet Reserve Organic Malbec 2019;Domaine Bousquet;0,75 l;15.98;21.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän mustaherukkainen, pensasmustikkainen, neilikkainen, tamminen, lämmin;14.5;80.0
928127;Domaine Bousquet Reserve Organic Pinot Noir 2017;Domaine Bousquet;0,75 l;14.98;19.84;punaviinit;Marjaisa & Raikas;;Argentiina;Mendoza;2017;Keskitäyteläinen, keskitanniininen, kirsikkainen, marjainen;14.5;80.0
466657;Domaine Bousquet Virgen Organic Malbec 2020;Domaine Bousquet;0,75 l;13.99;18.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2020;Täyteläinen, keskitanniininen, boysenmarjainen, tumman kirsikkainen, herukkainen, kevyen metsämarjainen, hennon yrttinen;14.5;80.0
955194;Doña Paula Estate Malbec 2019;Viña Doña Paula;0,75 l;16.99;22.65;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, aromikas, luumuinen, mustikkainen;14.5;80.0
405507;Doña Paula Syrah 2016;Viña Doña Paula;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2016;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, luumuinen, mausteinen;13.5;80.0
955287;Elsa Bianchi Malbec 2018;Valentin Bianchi;0,75 l;10.11;13.35;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;13.5;80.0
901277;Emma Zuccardi Bonarda 2017;Familia Zuccardi;0,75 l;29.98;39.97;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, aromikas, mausteinen, kirsikkainen;13.0;70.0
456707;Famiglia Bianchi Malbec 2019;Valentin Bianchi;0,75 l;12.90;17.07;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, mustaherukkainen, tumman kirsikkainen, kevyen luumuinen, suklainen, hennon tervainen;14.5;80.0
006504;Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015;Finca Flichman;0,75 l;9.77;12.89;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Keskitäyteläinen, keskitanniininen, karpaloinen, tumman kirsikkainen, yrttinen, kevyen minttuinen, hennon havuinen;14.0;80.0
006404;Finca Flichman Shiraz Roble 2015;Finca Flichman;0,75 l;9.43;12.44;punaviinit;Marjaisa & Raikas;;Argentiina;Mendoza;2015;Keskitäyteläinen, keskitanniininen, kirsikkainen, kypsän karpaloinen, timjaminen, kevyen mausteinen;12.5;70.0
902403;Flechas de Los Andes Aguaribay 2018;Flechas de Los Andes;0,75 l;19.93;26.57;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, mausteinen, karhunvatukkahilloinen;14.0;80.0
930156;Flechas de Los Andes Gran Corte 2015;Flechas de Los Andes;0,75 l;39.89;53.19;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, mausteinen;14.5;80.0
431787;Fuzion Organic Malbec 2019;Fuzion Wines;0,75 l;9.98;13.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, mustikkahilloinen, punaherukkainen, kevyen vadelmainen, hennon havuinen;13.5;80.0
458667;Fuzion The Coffee Shop Red Blend 2019;La Agricola;0,75 l;10.99;14.52;punaviinit;Pehmeä & Hedelmäinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, kirsikkahilloinen, metsämansikkainen, mokkainen, maitosuklainen, vaniljainen;14.5;80.0
950851;Graffigna Centenario Malbec 2018;VSPT Argentina Wine Group;0,75 l;13.09;17.32;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, luumuinen, mausteinen, tumman kirsikkainen;13.5;80.0
462537;Gran Mascota Cabernet Sauvignon 2017;Mascota Vineyards;0,75 l;22.99;30.65;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, tumman luumuinen, kaakaoinen, tamminen, pitkä;14.0;80.0
901163;José Zuccardi Malbec 2016;Familia Zuccardi;0,75 l;34.90;46.53;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2016;Täyteläinen, tanniininen, karhunvatukkainen, tumman kirsikkainen, mokkainen;14.0;80.0
480007;Kaiken Estate Malbec 2018;Kaiken;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Keskitäyteläinen, keskitanniininen, mesimarjainen, kirsikkainen, mustikkainen, kevyen neilikkainen, hennon kukkainen;14.0;80.0
495047;La Mascota Dark Bat Syrah 2019;La Mascota;0,75 l;11.99;15.85;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, tumman luumuinen, kevyen kaakaoinen, mausteinen;13.5;80.0
949332;La Mascota Unanime Gran Vino Tinto 2017;La Mascota;0,75 l;24.99;33.32;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2017;Täyteläinen, tanniininen, mausteinen;14.5;80.0
460107;Luigi Bosca Cabernet Franc  2015;Bodega Luigi Bosca;0,75 l;20.48;27.17;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, hapankirsikkainen, viikunainen, karpaloinen, herukkainen, yrttinen, tamminen;14.0;80.0
430377;Luigi Bosca Cabernet Sauvignon 2018;Luigi Bosca;0,75 l;17.98;23.84;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, kypsän karpaloinen, hapankirsikkainen, kevyen viikunainen, hennon tallinen, tamminen;14.0;80.0
466907;Luigi Bosca Malbec 2018;Bodega Luigi Bosca;0,75 l;20.48;27.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, hapankirsikkainen, kevyen salmiakkinen, hennon havuinen, lämmin;14.5;80.0
910867;Masi Tupungato Passo Doble 2018;Masi Tupungato;0,75 l;14.99;19.99;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, marjainen, mausteinen;13.5;80.0
422337;Mendel Cabernet Franc 2017;Bodega Mendel;0,75 l;29.50;39.33;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2017;Täyteläinen, erittäin tanniininen, tumman kirsikkainen, mustaherukkainen, boysenmarjainen, suklainen, hennon lyijykynäinen, tamminen, lämmin, pitkä;14.5;80.0
400127;Mendel Malbec 2018;Bodega Mendel;0,75 l;29.50;39.33;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, karhunvatukkahilloinen, tumman luumuinen, mustikkainen, kevyen mustaherukkainen, pippurinen, tamminen, runsas, pitkä;14.5;80.0
939907;Milamore 2015;Renacer;0,75 l;24.99;33.19;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Täyteläinen, keskitanniininen, tumman kirsikkainen, mansikkainen, mustaherukkainen, luumuhilloinen, mausteinen;13.5;80.0
910697;Navarro Correas Colección Privada Malbec 2019;Bodega Navarro Correas;0,75 l;13.49;17.85;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, boysenmarjainen, kevyen minttuinen, hennon paahteinen;13.5;80.0
926727;Navarro Correas Reserve Cabernet Sauvignon 2018;Bodega Navarro Correas;0,75 l;16.68;22.11;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, mustaherukkainen, luumuinen, tamminen;14.0;80.0
955777;Navarro Correas Reserve Malbec 2018;Bodega Navarro Correas;0,75 l;16.68;22.11;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, kirsikkainen, luumuinen, pippurinen;14.0;80.0
459657;Nieto Senetiner Malbec 2018;Nieto Senetiner;0,75 l;12.90;17.07;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Keskitäyteläinen, keskitanniininen, boysenmarjainen, kirsikkainen, karpaloinen, mausteinen, hennon kukkainen;13.5;80.0
445147;Norton Barrel Select Cabernet Sauvignon 2020;Bodega Norton;0,75 l;12.48;16.51;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2020;Täyteläinen, keskitanniininen, mustaherukkainen, tumman kirsikkainen, kevyen vadelmainen, mausteinen, hennon salmiakkinen;14.0;80.0
464277;Norton Barrel Select Malbec 2020;Bodega Norton;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2020;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, kypsän karpaloinen, mausteinen, kevyen tamminen;14.0;80.0
432417;Norton Privada 2018;Bodega Norton;0,75 l;15.98;21.17;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2018;Täyteläinen, erittäin tanniininen, mustaherukkainen, tumman kirsikkainen, karhunvatukkainen, karpaloinen, hennon nahkainen, mausteinen;14.5;80.0
922217;Norton Reserva Malbec 2018;Bodega Norton;0,75 l;14.98;19.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, tanniininen, karhunvatukkainen, kirsikkainen, kevyen suklainen, hennon setrinen, mausteinen;14.5;80.0
913707;Paula Malbec 2019;Viña Doña Paula;0,75 l;10.99;14.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, hedelmäinen, mausteinen, aromikas;13.5;80.0
909812;Pedro Del Castillo Red Blend 2018;Bodega y Cavas de Weinert;0,75 l;12.98;17.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, tumman kirsikkainen, mustaherukkainen, mausteinen;13.5;80.0
902485;Poligonos San Pablo Cabernet Franc 2019;Familia Zuccardi;0,75 l;27.99;37.32;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, karpaloinen, tumman kirsikkainen, yrttinen;14.0;80.0
915664;Renacer Milamore 2015;Bodega Renacer;0,375 l;14.98;39.68;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Keskitäyteläinen, keskitanniininen, herukkainen, tumman kirsikkainen, hennon paprikainen, kevyen mausteinen;14.0;80.0
946347;Renacer Punto Final Malbec 2019;Renacer;0,75 l;13.99;18.52;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, kirsikkainen, mustikkainen, kevyen metsämansikkainen, hennon kukkainen, yrttinen;14.0;80.0
917645;Renacer Repasso Malbec Blended 2018;Renacer;0,75 l;14.98;19.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, karhunvatukkainen, luumuinen, kukkainen;14.0;80.0
414647;Ruca Malen Kinien Cabernet Sauvignon 2012;Ruca Malen;0,75 l;25.59;33.99;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2012;Erittäin täyteläinen, tanniininen, mustaherukkainen, boysenmarjahilloinen, tumman kirsikkainen, kaakaoinen, kevyen setrinen, tamminen, runsas, pitkä;14.1;80.0
437577;Santa Julia Colección Malbec 2018;Santa Julia;0,75 l;8.99;11.85;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2018;Täyteläinen, keskitanniininen, luumuinen, tumman kirsikkainen, karhunvatukkahilloinen, mausteinen, kevyen kaakaoinen;13.5;80.0
905161;Santa Julia El Burro Natural Malbec 2020;Familia Zuccardi;0,75 l;16.99;22.65;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2020;Täyteläinen, keskitanniininen, kirsikkainen, luumuinen, herukkainen;13.0;70.0
907152;Santa Julia Malbec 2020;Santa Julia;0,187 l;3.59;19.2;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2020;Keskitäyteläinen, keskitanniininen, vadelmainen, kirsikkainen, herukkainen, suklainen, mokkainen;14.0;80.0
934332;Santa Julia Organic Malbec 2019;Zuccardi;0,75 l;10.98;14.64;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, karhunvatukkainen, marjainen, mustaherukkainen;13.5;80.0
485958;Santa Julia Organic Malbec 2020 kartonkitölkki;Santa Julia;1 l;10.99;10.99;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2020;Keskitäyteläinen, keskitanniininen, boysenmarjainen, karpalohilloinen, kevyen paahteinen;13.0;70.0
453727;Santa Julia Pinot Noir Flores Negras 2019;Santa Julia Winery;0,75 l;15.98;21.31;punaviinit;Marjaisa & Raikas;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, kypsän punaherukkainen, vadelmainen, kirsikkainen, kevyen mausteinen;13.0;80.0
406077;Septima Tierra Los Chacayes Malbec 2019;Bodega Septima;0,75 l;14.95;19.93;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, tumman kirsikkainen, herukkainen, luumuinen, kaakaopapuinen, hennon neilikkainen, mausteinen, tamminen;15.0;80.0
490777;Susana Balbo Crios Malbec 2019;Susana Balbo;0,75 l;15.98;21.17;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, herukkainen, kirsikkahilloinen, boysenmarjainen, tummasuklainen, pippurinen, kevyen tamminen;13.5;80.0
457117;Tension La Ribera Cabernet Sauvignon Cabernet Franc 2019;Santa Julia;0,75 l;14.98;19.84;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2019;Täyteläinen, tanniininen, tumman kirsikkainen, mesimarjainen, mustaherukkainen, kaakaoinen, tamminen;14.5;80.0
490817;Trapiche Malkina Merlot Syrah Tannat 2019;Trapiche;0,75 l;9.48;12.51;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, karhunvatukkainen, mustaherukkainen, yrttinen, hennon lakritsinen;13.5;80.0
412307;Trapiche Pinot Noir Oak Cask 2019;Trapiche;0,75 l;9.98;13.17;punaviinit;Marjaisa & Raikas;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, kirsikkainen, kypsän karpaloinen, hennon lääkeyrttinen, kevyen tamminen;13.5;80.0
936057;Trapiche Pure Black Malbec 2019;Bodegas Trapiche;0,75 l;13.48;17.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, luumuinen, karpaloinen, puinen, kevyen yrttinen;14.0;80.0
931468;Trapiche Terroir Series Finca Coletto Malbec 2014;Trapiche;0,75 l;29.98;39.97;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2014;Erittäin täyteläinen, tanniininen, mustaherukkainen, mausteinen, tamminen;15.0;80.0
928177;Trivento Golden Reserve Malbec 2017;Trivento;0,75 l;16.99;22.52;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, kypsän boysenmarjainen, tumman kirsikkainen, kevyen mokkainen, tamminen;14.5;80.0
475277;Tucumen Cabernet Sauvignon Reserva 2015;Budeguer;0,75 l;15.99;21.19;punaviinit;Roteva & Voimakas;;Argentiina;Mendoza;2015;Täyteläinen, tanniininen, mustaherukkainen, tumman kirsikkainen, karhunvatukkainen, hennon viikunainen, mustapippurinen, kevyen tamminen;14.0;80.0
401007;Ver Sacrum Garnacha 2018;Ver Sacrum;0,75 l;20.98;27.97;punaviinit;Marjaisa & Raikas;;Argentiina;Mendoza;2018;Kevyt, keskitanniininen, kypsän karpaloinen, karhunvatukkainen, hapankirsikkainen, yrttinen, kevyen pippurinen;13.0;70.0
499857;Ver Sacrum Monastrell 2018;Ver Sacrum;0,75 l;20.98;27.97;punaviinit;Marjaisa & Raikas;;Argentiina;Mendoza;2018;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, karpaloinen, vadelmainen, timjaminen, kevyen mausteinen;13.0;70.0
940698;Weinert Carrascal 2017;Bodega y Cavas De Weinert;0,75 l;14.98;19.84;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, karhunvatukkainen, viikunainen, luumuinen, nahkainen;14.0;80.0
944577;Zuccardi Concreto Malbec 2019;Familia Zuccardi;0,75 l;29.98;39.97;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2019;Täyteläinen, keskitanniininen, mausteinen, tamminen, vaniljainen;14.0;80.0
909613;Zuccardi Finca Piedra Infinita 2017;Familia Zuccardi;0,75 l;169.99;226.65;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, mausteinen;14.5;80.0
934133;Zuccardi Finca Piedra Infinita Supercal 2017;Familia Zuccardi;0,75 l;199.00;265.33;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2017;Täyteläinen, keskitanniininen, karhunvatukkainen, yrttinen, tumman kirsikkainen;14.0;80.0
431567;Zuccardi Q Cabernet Sauvignon 2014;Familia Zuccardi;0,75 l;18.99;25.19;punaviinit;Vivahteikas & Kehittynyt;;Argentiina;Mendoza;2014;Täyteläinen, tanniininen, karhunvatukkainen, mustaherukkainen, kuivatun luumuinen, tamminen, paahteinen;14.5;80.0
948927;Zuccardi Q Malbec 2015;Zuccardi;0,75 l;18.98;25.31;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2015;Täyteläinen, keskitanniininen, marjainen, mausteinen;14.5;80.0
934397;Zuccardi Serie A Malbec 2016;Zuccardi;0,75 l;13.99;18.65;punaviinit;Mehevä & Hilloinen;;Argentiina;Mendoza;2016;Keskitäyteläinen, keskitanniininen, karpaloinen, mausteinen, aromikas;13.0;70.0
915083;Ecologica Reserve Organic Shiraz Malbec 2019;La Riojana;0,75 l;10.48;13.84;punaviinit;Mehevä & Hilloinen;;Argentiina;Muut;2019;Täyteläinen, keskitanniininen, kirsikkainen, herukkainen, karhunvatukkahilloinen;13.0;80.0
932237;Elsa Bianchi Syrah 2016;Valentin Bianchi;0,75 l;10.11;13.35;punaviinit;Mehevä & Hilloinen;;Argentiina;Muut;2016;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen;13.5;80.0
906458;Fair & Square Red 2020 kartonkitölkki;La Riojana;1 l;10.49;10.49;punaviinit;Mehevä & Hilloinen;;Argentiina;Muut;2020;Keskitäyteläinen, keskitanniininen, karhunvatukkainen, mustikkainen, kypsän karpaloinen, kevyen yrttinen, mausteinen;13.5;80.0
